DonorID,DonorName,DonorType,Phone,Email,Address,District,CreatedAt
1,Donor 01 Foods,Company,+60170000001,donor01@example.org,1 Jalan Donor1,Kuala Lumpur,2026-01-01
2,Donor 02 Foods,NGO,+60170000002,donor02@example.org,2 Jalan Donor2,Selangor,2026-01-02
3,Donor 03 Foods,Individual,+60170000003,donor03@example.org,3 Jalan Donor3,Penang,2026-01-03
4,Donor 04 Foods,Company,+60170000004,donor04@example.org,4 Jalan Donor4,Johor,2026-01-04
5,Donor 05 Foods,NGO,+60170000005,donor05@example.org,5 Jalan Donor5,Perak,2026-01-05
6,Donor 06 Foods,Individual,+60170000006,donor06@example.org,6 Jalan Donor6,Kuala Lumpur,2026-01-06
7,Donor 07 Foods,Company,+60170000007,donor07@example.org,7 Jalan Donor7,Selangor,2026-01-07
8,Donor 08 Foods,NGO,+60170000008,donor08@example.org,8 Jalan Donor8,Penang,2026-01-08
9,Donor 09 Foods,Individual,+60170000009,donor09@example.org,9 Jalan Donor9,Johor,2026-01-09
10,Donor 10 Foods,Company,+60170000010,donor10@example.org,10 Jalan Donor10,Perak,2026-01-10
11,Donor 11 Foods,NGO,+60170000011,donor11@example.org,11 Jalan Donor11,Kuala Lumpur,2026-01-11
12,Donor 12 Foods,Individual,+60170000012,donor12@example.org,12 Jalan Donor12,Selangor,2026-01-12
13,Donor 13 Foods,Company,+60170000013,donor13@example.org,13 Jalan Donor13,Penang,2026-01-13
14,Donor 14 Foods,NGO,+60170000014,donor14@example.org,14 Jalan Donor14,Johor,2026-01-14
15,Donor 15 Foods,Individual,+60170000015,donor15@example.org,15 Jalan Donor15,Perak,2026-01-15
16,Donor 16 Foods,Company,+60170000016,donor16@example.org,16 Jalan Donor16,Kuala Lumpur,2026-01-16
17,Donor 17 Foods,NGO,+60170000017,donor17@example.org,17 Jalan Donor17,Selangor,2026-01-17
18,Donor 18 Foods,Individual,+60170000018,donor18@example.org,18 Jalan Donor18,Penang,2026-01-18
19,Donor 19 Foods,Company,+60170000019,donor19@example.org,19 Jalan Donor19,Johor,2026-01-19
20,Donor 20 Foods,NGO,+60170000020,donor20@example.org,20 Jalan Donor20,Perak,2026-01-20
21,Donor 21 Foods,Individual,+60170000021,donor21@example.org,21 Jalan Donor21,Kuala Lumpur,2026-01-21
22,Donor 22 Foods,Company,+60170000022,donor22@example.org,22 Jalan Donor22,Selangor,2026-01-22
